cycle,event_type,severity,message,value
0,"propulsion_burn_started","info","Propulsion burn started",""
2,"adcs_correction_started","info","ADCS correction started",""
2,"tracker_recovered","info","Tracker recovered",""
2,"payload_dataset_ready","info","Payload dataset ready","dataset_0"
3,"adcs_correction_stopped","info","ADCS correction stopped",""
3,"tracker_degraded","warn","Tracker degraded",""
3,"propulsion_burn_stopped","info","Propulsion burn stopped",""
5,"adcs_correction_started","info","ADCS correction started",""
5,"tracker_recovered","info","Tracker recovered",""
10,"adcs_correction_stopped","info","ADCS correction stopped",""
10,"tracker_degraded","warn","Tracker degraded",""
12,"adcs_correction_started","info","ADCS correction started",""
12,"tracker_recovered","info","Tracker recovered",""
13,"adcs_correction_stopped","info","ADCS correction stopped",""
13,"tracker_degraded","warn","Tracker degraded",""
14,"adcs_correction_started","info","ADCS correction started",""
14,"tracker_recovered","info","Tracker recovered",""
15,"adcs_correction_stopped","info","ADCS correction stopped",""
15,"tracker_degraded","warn","Tracker degraded",""
17,"adcs_correction_started","info","ADCS correction started",""
17,"tracker_recovered","info","Tracker recovered",""
19,"adcs_correction_stopped","info","ADCS correction stopped",""
19,"tracker_degraded","warn","Tracker degraded",""
20,"adcs_correction_started","info","ADCS correction started",""
20,"tracker_recovered","info","Tracker recovered",""
24,"payload_dataset_ready","info","Payload dataset ready","dataset_1"
27,"adcs_correction_stopped","info","ADCS correction stopped",""
27,"tracker_degraded","warn","Tracker degraded",""
29,"adcs_correction_started","info","ADCS correction started",""
29,"tracker_recovered","info","Tracker recovered",""
30,"adcs_correction_stopped","info","ADCS correction stopped",""
30,"tracker_degraded","warn","Tracker degraded",""
31,"adcs_correction_started","info","ADCS correction started",""
31,"tracker_recovered","info","Tracker recovered",""
32,"adcs_correction_stopped","info","ADCS correction stopped",""
32,"tracker_degraded","warn","Tracker degraded",""
33,"adcs_correction_started","info","ADCS correction started",""
33,"tracker_recovered","info","Tracker recovered",""
34,"adcs_correction_stopped","info","ADCS correction stopped",""
34,"tracker_degraded","warn","Tracker degraded",""
35,"adcs_correction_started","info","ADCS correction started",""
35,"tracker_recovered","info","Tracker recovered",""
40,"adcs_correction_stopped","info","ADCS correction stopped",""
40,"tracker_degraded","warn","Tracker degraded",""
41,"adcs_correction_started","info","ADCS correction started",""
41,"tracker_recovered","info","Tracker recovered",""
42,"adcs_correction_stopped","info","ADCS correction stopped",""
42,"tracker_degraded","warn","Tracker degraded",""
45,"adcs_correction_started","info","ADCS correction started",""
45,"tracker_recovered","info","Tracker recovered",""
46,"payload_dataset_ready","info","Payload dataset ready","dataset_2"
47,"adcs_correction_stopped","info","ADCS correction stopped",""
47,"tracker_degraded","warn","Tracker degraded",""
49,"heater_activated","info","Thermal heater activated",""
50,"heater_deactivated","info","Thermal heater deactivated",""
54,"adcs_correction_started","info","ADCS correction started",""
54,"tracker_recovered","info","Tracker recovered",""
55,"heater_activated","info","Thermal heater activated",""
56,"adcs_correction_stopped","info","ADCS correction stopped",""
56,"tracker_degraded","warn","Tracker degraded",""
56,"heater_deactivated","info","Thermal heater deactivated",""
59,"adcs_correction_started","info","ADCS correction started",""
59,"tracker_recovered","info","Tracker recovered",""
61,"adcs_correction_stopped","info","ADCS correction stopped",""
61,"tracker_degraded","warn","Tracker degraded",""
61,"heater_activated","info","Thermal heater activated",""
62,"adcs_correction_started","info","ADCS correction started",""
62,"tracker_recovered","info","Tracker recovered",""
62,"heater_deactivated","info","Thermal heater deactivated",""
67,"heater_activated","info","Thermal heater activated",""
67,"compute_budget_low","warn","Compute budget dropped below threshold","36.901807"
68,"adcs_correction_stopped","info","ADCS correction stopped",""
68,"tracker_degraded","warn","Tracker degraded",""
68,"heater_deactivated","info","Thermal heater deactivated",""
68,"payload_dataset_ready","info","Payload dataset ready","dataset_3"
70,"adcs_correction_started","info","ADCS correction started",""
70,"tracker_recovered","info","Tracker recovered",""
71,"adcs_correction_stopped","info","ADCS correction stopped",""
71,"tracker_degraded","warn","Tracker degraded",""
73,"heater_activated","info","Thermal heater activated",""
74,"heater_deactivated","info","Thermal heater deactivated",""
76,"adcs_correction_started","info","ADCS correction started",""
76,"tracker_recovered","info","Tracker recovered",""
79,"adcs_correction_stopped","info","ADCS correction stopped",""
79,"tracker_degraded","warn","Tracker degraded",""
79,"heater_activated","info","Thermal heater activated",""
0,"propulsion_burn_started","info","Propulsion burn started",""
2,"adcs_correction_started","info","ADCS correction started",""
2,"tracker_recovered","info","Tracker recovered",""
2,"payload_dataset_ready","info","Payload dataset ready","dataset_0"
3,"adcs_correction_stopped","info","ADCS correction stopped",""
3,"tracker_degraded","warn","Tracker degraded",""
3,"propulsion_burn_stopped","info","Propulsion burn stopped",""
5,"adcs_correction_started","info","ADCS correction started",""
5,"tracker_recovered","info","Tracker recovered",""
10,"adcs_correction_stopped","info","ADCS correction stopped",""
10,"tracker_degraded","warn","Tracker degraded",""
12,"adcs_correction_started","info","ADCS correction started",""
12,"tracker_recovered","info","Tracker recovered",""
13,"adcs_correction_stopped","info","ADCS correction stopped",""
13,"tracker_degraded","warn","Tracker degraded",""
14,"adcs_correction_started","info","ADCS correction started",""
14,"tracker_recovered","info","Tracker recovered",""
15,"adcs_correction_stopped","info","ADCS correction stopped",""
15,"tracker_degraded","warn","Tracker degraded",""
17,"adcs_correction_started","info","ADCS correction started",""
17,"tracker_recovered","info","Tracker recovered",""
19,"adcs_correction_stopped","info","ADCS correction stopped",""
19,"tracker_degraded","warn","Tracker degraded",""
20,"adcs_correction_started","info","ADCS correction started",""
20,"tracker_recovered","info","Tracker recovered",""
24,"payload_dataset_ready","info","Payload dataset ready","dataset_1"
27,"adcs_correction_stopped","info","ADCS correction stopped",""
27,"tracker_degraded","warn","Tracker degraded",""
29,"adcs_correction_started","info","ADCS correction started",""
29,"tracker_recovered","info","Tracker recovered",""
