cycle,source_w,reserve_w,total_bus_load_w,noncompute_w,compute_budget_w,jetson_allow_w,scheduler_mode,adcs_mode,adcs_power_w,wheel_power_w,comms_power_w,thermal_power_w,propulsion_power_w,payload_power_w,pi_power_w,jetson_power_w,jetson_mode,jetson_job_type,truth_pointing_err_deg,est_pointing_err_deg,tracker_conf,tracker_valid,tracked_stars,comms_mode,comms_backlog_bits,payload_mode,payload_active,dataset_ready,dataset_id,dataset_count,acquisition_stage,active_stage,active_stage_n,roi_count,processing_queue,thermal_mode,heater_active,thermal_temp_c,propulsion_mode,propulsion_active,propulsion_thrust_n
0,119.605,20,53.0211,44.0211,41.688,37.688,0,"TRACKER_DEGRADED",13.0211,4.0211,4,2,15,10,4,5,"IDLE","none",1.76288,0.043915,0.103714,0,18,"READY",0,"ACQUIRE",1,0,"",0,1,0,-1,0,0,"PASSIVE",0,17.97,"CORRECTION_BURN",1,0.12
1,119.241,20,53.0355,44.0355,41.4041,37.4041,0,"TRACKER_DEGRADED",13.0355,4.03553,4,2,15,10,4,5,"IDLE","none",1.82116,0.101452,0.241314,0,8,"READY",0,"ACQUIRE",1,0,"",0,2,0,-1,0,0,"PASSIVE",0,17.94,"CORRECTION_BURN",1,0.12
2,118.937,20,52.0595,43.0595,41.9081,37.9081,0,"CORRECTING",16.0595,4.05953,4,2,15,6,4,5,"IDLE","none",1.89022,0.264909,0.676426,1,17,"READY",0,"READY",0,1,"dataset_0",1,3,0,-1,0,0,"PASSIVE",0,17.91,"CORRECTION_BURN",1,0.12
3,118.72,20,35.0777,26.0777,54.4817,50.4817,0,"TRACKER_DEGRADED",13.0777,4.07767,4,2,1,6,4,5,"IDLE","none",1.96502,0.340314,0.389577,0,14,"READY",0,"IDLE",0,0,"dataset_0",1,0,0,-1,0,0,"PASSIVE",0,17.88,"IDLE",0,0
4,118.613,20,35.0971,26.0971,54.3872,50.3872,0,"TRACKER_DEGRADED",13.0971,4.09707,4,2,1,6,4,5,"IDLE","none",2.04331,0.419052,0.368706,0,11,"READY",0,"IDLE",0,0,"dataset_0",1,0,0,-1,0,0,"PASSIVE",0,17.85,"IDLE",0,0
5,118.636,20,38.1219,29.1219,52.1356,48.1356,0,"CORRECTING",16.1219,4.12191,4,2,1,6,4,5,"IDLE","none",2.12309,0.562793,0.490862,1,16,"READY",0,"IDLE",0,0,"dataset_0",1,0,0,-1,0,0,"PASSIVE",0,17.82,"IDLE",0,0
6,118.801,20,38.1489,29.1489,52.2393,48.2393,0,"CORRECTING",16.1489,4.14894,4,2,1,6,4,5,"IDLE","none",2.20157,0.719683,0.62976,1,23,"READY",0,"IDLE",0,0,"dataset_0",1,0,0,-1,0,0,"PASSIVE",0,17.79,"IDLE",0,0
7,119.117,20,38.1758,29.1758,52.4559,48.4559,0,"CORRECTING",16.1758,4.17581,4,2,1,6,4,5,"IDLE","none",2.27627,0.849843,0.463658,1,12,"STANDBY",0,"IDLE",0,0,"dataset_0",1,0,0,-1,0,0,"PASSIVE",0,17.76,"IDLE",0,0
8,119.584,20,38.2031,29.2031,52.7859,48.7859,0,"CORRECTING",16.2031,4.20313,4,2,1,6,4,5,"IDLE","none",2.34551,0.971573,0.451668,1,12,"STANDBY",0,"IDLE",0,0,"dataset_0",1,0,0,-1,0,0,"PASSIVE",0,17.73,"IDLE",0,0
9,120.198,20,38.2313,29.2313,53.2252,49.2252,0,"CORRECTING",16.2313,4.23127,4,2,1,6,4,5,"IDLE","none",2.40809,1.09744,0.574024,1,15,"STANDBY",0,"IDLE",0,0,"dataset_0",1,0,0,-1,0,0,"PASSIVE",0,17.7,"IDLE",0,0
