cycle,event_type,severity,message,value
0,"propulsion_burn_started","info","Propulsion burn started",""
2,"camera_capture_started","info","Camera/demo capture started","image_file"
2,"camera_capture_completed","info","Image-file capture ready","out_image_file_extended_tmp/datasets/dataset_0/raw_capture_from_file.ppm"
2,"payload_alignment_succeeded","info","Marker alignment succeeded","0.502268"
2,"payload_capture_accepted","info","Payload capture accepted","dataset_0"
2,"jetson_coarse_started","info","Jetson coarse job started","dataset_0_s0"
2,"jetson_coarse_completed","info","Jetson coarse job completed","coarse complete (cpu)"
2,"jetson_refine_started","info","Jetson refine job started","dataset_0_s0"
2,"jetson_refine_completed","info","Jetson refine job completed","refine complete (cpu)"
2,"adcs_correction_started","info","ADCS correction started",""
2,"tracker_recovered","info","Tracker recovered",""
2,"payload_dataset_ready","info","Payload dataset ready","dataset_0"
3,"adcs_correction_stopped","info","ADCS correction stopped",""
3,"tracker_degraded","warn","Tracker degraded",""
3,"propulsion_burn_stopped","info","Propulsion burn stopped",""
3,"downlink_active","info","Downlink became active",""
5,"adcs_correction_started","info","ADCS correction started",""
5,"tracker_recovered","info","Tracker recovered",""
7,"jetson_coarse_started","info","Jetson coarse job started","dataset_0_s1"
7,"jetson_coarse_completed","info","Jetson coarse job completed","coarse complete (cpu)"
7,"jetson_refine_started","info","Jetson refine job started","dataset_0_s1"
7,"jetson_refine_completed","info","Jetson refine job completed","refine complete (cpu)"
7,"downlink_inactive","info","Downlink became inactive",""
8,"jetson_coarse_started","info","Jetson coarse job started","dataset_0_s2"
8,"jetson_coarse_completed","info","Jetson coarse job completed","coarse complete (cpu)"
8,"jetson_refine_started","info","Jetson refine job started","dataset_0_s2"
8,"jetson_refine_completed","info","Jetson refine job completed","refine complete (cpu)"
9,"scheduler_mode_changed","info","Scheduler mode changed","1"
9,"jetson_coarse_started","info","Jetson coarse job started","dataset_0_s3"
9,"jetson_coarse_completed","info","Jetson coarse job completed","coarse complete (cpu)"
10,"adcs_correction_stopped","info","ADCS correction stopped",""
10,"tracker_degraded","warn","Tracker degraded",""
12,"adcs_correction_started","info","ADCS correction started",""
12,"tracker_recovered","info","Tracker recovered",""
13,"adcs_correction_stopped","info","ADCS correction stopped",""
13,"tracker_degraded","warn","Tracker degraded",""
14,"adcs_correction_started","info","ADCS correction started",""
14,"tracker_recovered","info","Tracker recovered",""
15,"adcs_correction_stopped","info","ADCS correction stopped",""
15,"tracker_degraded","warn","Tracker degraded",""
17,"adcs_correction_started","info","ADCS correction started",""
17,"tracker_recovered","info","Tracker recovered",""
19,"adcs_correction_stopped","info","ADCS correction stopped",""
19,"tracker_degraded","warn","Tracker degraded",""
20,"adcs_correction_started","info","ADCS correction started",""
20,"tracker_recovered","info","Tracker recovered",""
24,"camera_capture_started","info","Camera/demo capture started","image_file"
24,"camera_capture_completed","info","Image-file capture ready","out_image_file_extended_tmp/datasets/dataset_1/raw_capture_from_file.ppm"
24,"payload_alignment_succeeded","info","Marker alignment succeeded","0.502268"
24,"payload_capture_accepted","info","Payload capture accepted","dataset_1"
24,"payload_dataset_ready","info","Payload dataset ready","dataset_1"
27,"adcs_correction_stopped","info","ADCS correction stopped",""
27,"tracker_degraded","warn","Tracker degraded",""
29,"adcs_correction_started","info","ADCS correction started",""
29,"tracker_recovered","info","Tracker recovered",""
29,"downlink_active","info","Downlink became active",""
30,"adcs_correction_stopped","info","ADCS correction stopped",""
30,"tracker_degraded","warn","Tracker degraded",""
31,"adcs_correction_started","info","ADCS correction started",""
31,"tracker_recovered","info","Tracker recovered",""
32,"adcs_correction_stopped","info","ADCS correction stopped",""
32,"tracker_degraded","warn","Tracker degraded",""
33,"adcs_correction_started","info","ADCS correction started",""
33,"tracker_recovered","info","Tracker recovered",""
34,"adcs_correction_stopped","info","ADCS correction stopped",""
34,"tracker_degraded","warn","Tracker degraded",""
35,"adcs_correction_started","info","ADCS correction started",""
35,"tracker_recovered","info","Tracker recovered",""
37,"downlink_inactive","info","Downlink became inactive",""
40,"adcs_correction_stopped","info","ADCS correction stopped",""
40,"tracker_degraded","warn","Tracker degraded",""
41,"adcs_correction_started","info","ADCS correction started",""
41,"tracker_recovered","info","Tracker recovered",""
42,"adcs_correction_stopped","info","ADCS correction stopped",""
42,"tracker_degraded","warn","Tracker degraded",""
45,"adcs_correction_started","info","ADCS correction started",""
45,"tracker_recovered","info","Tracker recovered",""
46,"camera_capture_started","info","Camera/demo capture started","image_file"
46,"camera_capture_completed","info","Image-file capture ready","out_image_file_extended_tmp/datasets/dataset_2/raw_capture_from_file.ppm"
46,"payload_alignment_succeeded","info","Marker alignment succeeded","0.502268"
46,"payload_capture_accepted","info","Payload capture accepted","dataset_2"
46,"payload_dataset_ready","info","Payload dataset ready","dataset_2"
47,"adcs_correction_stopped","info","ADCS correction stopped",""
47,"tracker_degraded","warn","Tracker degraded",""
49,"heater_activated","info","Thermal heater activated",""
50,"heater_deactivated","info","Thermal heater deactivated",""
54,"adcs_correction_started","info","ADCS correction started",""
54,"tracker_recovered","info","Tracker recovered",""
55,"heater_activated","info","Thermal heater activated",""
56,"adcs_correction_stopped","info","ADCS correction stopped",""
56,"tracker_degraded","warn","Tracker degraded",""
56,"heater_deactivated","info","Thermal heater deactivated",""
59,"adcs_correction_started","info","ADCS correction started",""
59,"tracker_recovered","info","Tracker recovered",""
59,"downlink_active","info","Downlink became active",""
61,"adcs_correction_stopped","info","ADCS correction stopped",""
61,"tracker_degraded","warn","Tracker degraded",""
61,"heater_activated","info","Thermal heater activated",""
61,"compute_budget_low","warn","Compute budget dropped below threshold","38.837714"
62,"adcs_correction_started","info","ADCS correction started",""
62,"tracker_recovered","info","Tracker recovered",""
62,"heater_deactivated","info","Thermal heater deactivated",""
66,"compute_budget_low","warn","Compute budget dropped below threshold","36.813171"
67,"heater_activated","info","Thermal heater activated",""
67,"downlink_inactive","info","Downlink became inactive",""
68,"camera_capture_started","info","Camera/demo capture started","image_file"
68,"camera_capture_completed","info","Image-file capture ready","out_image_file_extended_tmp/datasets/dataset_3/raw_capture_from_file.ppm"
68,"payload_alignment_succeeded","info","Marker alignment succeeded","0.502268"
68,"payload_capture_accepted","info","Payload capture accepted","dataset_3"
68,"adcs_correction_stopped","info","ADCS correction stopped",""
68,"tracker_degraded","warn","Tracker degraded",""
68,"heater_deactivated","info","Thermal heater deactivated",""
68,"payload_dataset_ready","info","Payload dataset ready","dataset_3"
70,"adcs_correction_started","info","ADCS correction started",""
70,"tracker_recovered","info","Tracker recovered",""
71,"adcs_correction_stopped","info","ADCS correction stopped",""
71,"tracker_degraded","warn","Tracker degraded",""
73,"heater_activated","info","Thermal heater activated",""
74,"heater_deactivated","info","Thermal heater deactivated",""
76,"adcs_correction_started","info","ADCS correction started",""
76,"tracker_recovered","info","Tracker recovered",""
79,"adcs_correction_stopped","info","ADCS correction stopped",""
79,"tracker_degraded","warn","Tracker degraded",""
79,"heater_activated","info","Thermal heater activated",""
80,"heater_deactivated","info","Thermal heater deactivated",""
81,"adcs_correction_started","info","ADCS correction started",""
81,"tracker_recovered","info","Tracker recovered",""
85,"heater_activated","info","Thermal heater activated",""
86,"heater_deactivated","info","Thermal heater deactivated",""
87,"adcs_correction_stopped","info","ADCS correction stopped",""
87,"tracker_degraded","warn","Tracker degraded",""
89,"downlink_active","info","Downlink became active",""
89,"compute_budget_low","warn","Compute budget dropped below threshold","38.626777"
90,"camera_capture_started","info","Camera/demo capture started","image_file"
90,"camera_capture_completed","info","Image-file capture ready","out_image_file_extended_tmp/datasets/dataset_4/raw_capture_from_file.ppm"
90,"payload_alignment_succeeded","info","Marker alignment succeeded","0.502268"
90,"payload_capture_accepted","info","Payload capture accepted","dataset_4"
90,"payload_dataset_ready","info","Payload dataset ready","dataset_4"
91,"adcs_correction_started","info","ADCS correction started",""
91,"tracker_recovered","info","Tracker recovered",""
91,"heater_activated","info","Thermal heater activated",""
91,"compute_budget_low","warn","Compute budget dropped below threshold","30.812303"
92,"adcs_correction_stopped","info","ADCS correction stopped",""
92,"tracker_degraded","warn","Tracker degraded",""
92,"heater_deactivated","info","Thermal heater deactivated",""
94,"adcs_correction_started","info","ADCS correction started",""
94,"tracker_recovered","info","Tracker recovered",""
96,"adcs_correction_stopped","info","ADCS correction stopped",""
96,"tracker_degraded","warn","Tracker degraded",""
97,"heater_activated","info","Thermal heater activated",""
97,"downlink_inactive","info","Downlink became inactive",""
98,"adcs_correction_started","info","ADCS correction started",""
98,"tracker_recovered","info","Tracker recovered",""
98,"heater_deactivated","info","Thermal heater deactivated",""
101,"adcs_correction_stopped","info","ADCS correction stopped",""
101,"tracker_degraded","warn","Tracker degraded",""
103,"heater_activated","info","Thermal heater activated",""
103,"compute_budget_low","warn","Compute budget dropped below threshold","37.771177"
104,"heater_deactivated","info","Thermal heater deactivated",""
106,"adcs_correction_started","info","ADCS correction started",""
106,"tracker_recovered","info","Tracker recovered",""
107,"adcs_correction_stopped","info","ADCS correction stopped",""
107,"tracker_degraded","warn","Tracker degraded",""
108,"adcs_correction_started","info","ADCS correction started",""
108,"tracker_recovered","info","Tracker recovered",""
109,"heater_activated","info","Thermal heater activated",""
109,"compute_budget_low","warn","Compute budget dropped below threshold","39.343240"
110,"adcs_correction_stopped","info","ADCS correction stopped",""
110,"tracker_degraded","warn","Tracker degraded",""
110,"heater_deactivated","info","Thermal heater deactivated",""
111,"adcs_correction_started","info","ADCS correction started",""
111,"tracker_recovered","info","Tracker recovered",""
112,"camera_capture_started","info","Camera/demo capture started","image_file"
112,"camera_capture_completed","info","Image-file capture ready","out_image_file_extended_tmp/datasets/dataset_5/raw_capture_from_file.ppm"
112,"payload_alignment_succeeded","info","Marker alignment succeeded","0.502268"
112,"payload_capture_accepted","info","Payload capture accepted","dataset_5"
112,"payload_dataset_ready","info","Payload dataset ready","dataset_5"
113,"adcs_correction_stopped","info","ADCS correction stopped",""
113,"tracker_degraded","warn","Tracker degraded",""
115,"adcs_correction_started","info","ADCS correction started",""
115,"tracker_recovered","info","Tracker recovered",""
115,"heater_activated","info","Thermal heater activated",""
116,"adcs_correction_stopped","info","ADCS correction stopped",""
116,"tracker_degraded","warn","Tracker degraded",""
116,"heater_deactivated","info","Thermal heater deactivated",""
119,"adcs_correction_started","info","ADCS correction started",""
119,"tracker_recovered","info","Tracker recovered",""
119,"propulsion_burn_started","info","Propulsion burn started",""
119,"downlink_active","info","Downlink became active",""
119,"compute_budget_low","warn","Compute budget dropped below threshold","33.241299"
121,"adcs_correction_stopped","info","ADCS correction stopped",""
121,"tracker_degraded","warn","Tracker degraded",""
121,"heater_activated","info","Thermal heater activated",""
122,"adcs_correction_started","info","ADCS correction started",""
122,"tracker_recovered","info","Tracker recovered",""
122,"heater_deactivated","info","Thermal heater deactivated",""
123,"propulsion_burn_stopped","info","Propulsion burn stopped",""
125,"adcs_correction_stopped","info","ADCS correction stopped",""
125,"tracker_degraded","warn","Tracker degraded",""
127,"heater_activated","info","Thermal heater activated",""
127,"downlink_inactive","info","Downlink became inactive",""
128,"tracker_recovered","info","Tracker recovered",""
128,"heater_deactivated","info","Thermal heater deactivated",""
129,"tracker_degraded","warn","Tracker degraded",""
133,"heater_activated","info","Thermal heater activated",""
134,"camera_capture_started","info","Camera/demo capture started","image_file"
134,"camera_capture_completed","info","Image-file capture ready","out_image_file_extended_tmp/datasets/dataset_6/raw_capture_from_file.ppm"
134,"payload_alignment_succeeded","info","Marker alignment succeeded","0.502268"
134,"payload_capture_accepted","info","Payload capture accepted","dataset_6"
134,"tracker_recovered","info","Tracker recovered",""
134,"heater_deactivated","info","Thermal heater deactivated",""
134,"payload_dataset_ready","info","Payload dataset ready","dataset_6"
