cycle,source_w,reserve_w,total_bus_load_w,noncompute_w,compute_budget_w,jetson_allow_w,scheduler_mode,adcs_mode,adcs_power_w,comms_power_w,thermal_power_w,propulsion_power_w,payload_power_w,pi_power_w,jetson_power_w,jetson_mode,jetson_job_type,truth_pointing_err_deg,est_pointing_err_deg,tracker_conf,tracker_valid,tracked_stars,comms_mode,comms_backlog_bits,payload_mode,active_stage,active_stage_n,roi_count,processing_queue
0,119.605,20,63.011,40.011,44.6956,36.6956,0,"TRACKER_DEGRADED",13.011,4,2,15,6,8,15,"ACTIVE","refine",1.74179,0.0228489,0.103714,0,18,"READY",786672,"IDLE",1,128,8,4
1,119.241,20,64.0148,51.0148,36.1697,28.1697,0,"TRACKER_DEGRADED",13.0148,15,2,15,6,8,5,"THROTTLED","none",1.76471,0.0450153,0.241314,0,8,"DOWNLINK",778672,"IDLE",1,256,10,3
2,118.937,20,67.0269,54.0269,33.6825,25.6825,0,"CORRECTING",16.0269,15,2,15,6,8,5,"THROTTLED","none",1.78763,0.162324,0.676426,1,17,"DOWNLINK",770672,"IDLE",1,256,10,3
3,118.72,20,50.0331,37.0331,46.2651,38.2651,0,"TRACKER_DEGRADED",13.0331,15,2,1,6,8,5,"THROTTLED","none",1.81055,0.185837,0.389577,0,14,"DOWNLINK",762672,"IDLE",1,256,10,3
4,118.613,20,50.0398,37.0398,46.1801,38.1801,0,"TRACKER_DEGRADED",13.0398,15,2,1,6,8,5,"THROTTLED","none",1.83346,0.209209,0.368707,0,11,"DOWNLINK",754672,"IDLE",1,256,10,3
5,118.636,20,53.0515,40.0515,43.9383,35.9383,0,"CORRECTING",16.0515,15,2,1,6,8,5,"THROTTLED","none",1.85638,0.296094,0.490861,1,16,"DOWNLINK",746672,"IDLE",1,256,10,3
6,118.801,20,53.0656,40.0656,44.0518,36.0518,0,"CORRECTING",16.0656,15,2,1,6,8,5,"THROTTLED","none",1.8793,0.397417,0.62976,1,23,"DOWNLINK",738672,"IDLE",1,256,10,3
7,119.117,20,52.08,29.08,52.5278,44.5278,0,"CORRECTING",16.08,4,2,1,6,8,15,"ACTIVE","refine",1.90222,0.475793,0.463659,1,12,"STANDBY",3884640,"IDLE",2,256,10,3
8,119.584,20,52.0955,29.0955,52.8666,44.8666,0,"CORRECTING",16.0955,4,2,1,6,8,15,"ACTIVE","refine",1.92514,0.5512,0.451668,1,12,"STANDBY",16467792,"IDLE",3,512,12,2
9,120.198,20,47.1125,29.1125,53.3143,45.3143,1,"CORRECTING",16.1125,4,2,1,6,8,10,"ACTIVE","coarse",1.94806,0.637417,0.574023,1,15,"STANDBY",41633752,"IDLE",3,1024,14,1
10,120.948,20,39.1263,26.1263,56.1159,48.1159,1,"TRACKER_DEGRADED",13.1263,4,2,1,6,8,5,"IDLE","none",1.97097,0.660095,0.26597,0,8,"STANDBY",41633752,"IDLE",3,1024,14,1
11,121.815,20,39.1407,26.1407,56.7559,48.7559,1,"TRACKER_DEGRADED",13.1407,4,2,1,6,8,5,"IDLE","none",1.99389,0.682903,0.328897,0,9,"STANDBY",41633752,"IDLE",3,1024,14,1
12,122.779,20,42.1628,29.1628,55.2125,47.2125,1,"CORRECTING",16.1628,4,2,1,6,8,5,"IDLE","none",2.01681,0.805264,0.947838,1,24,"STANDBY",41633752,"IDLE",3,1024,14,1
13,123.814,20,39.1794,26.1794,58.2258,50.2258,1,"TRACKER_DEGRADED",13.1794,4,2,1,6,8,5,"IDLE","none",2.03973,0.828016,0.177444,0,10,"STANDBY",41633752,"IDLE",3,1024,14,1
14,124.889,20,42.2013,29.2013,56.7655,48.7655,1,"CORRECTING",16.2013,4,2,1,6,8,5,"IDLE","none",2.06265,0.912909,0.633314,1,16,"STANDBY",41633752,"IDLE",3,1024,14,1
15,125.972,20,39.2191,26.2191,59.8149,51.8149,1,"TRACKER_DEGRADED",13.2191,4,2,1,6,8,5,"IDLE","none",2.08557,0.934986,0.0950891,0,8,"STANDBY",41633752,"IDLE",3,1024,14,1
16,127.032,20,39.238,26.238,60.5958,52.5958,1,"TRACKER_DEGRADED",13.238,4,2,1,6,8,5,"IDLE","none",2.10848,0.957412,0.247517,0,7,"STANDBY",41633752,"IDLE",3,1024,14,1
17,128.037,20,42.2608,29.2608,59.0819,51.0819,1,"CORRECTING",16.2608,4,2,1,6,8,5,"IDLE","none",2.1314,1.02506,0.479849,1,13,"STANDBY",41633752,"IDLE",3,1024,14,1
18,128.955,20,42.2843,29.2843,59.7528,51.7528,1,"CORRECTING",16.2843,4,2,1,6,8,5,"IDLE","none",2.15432,1.09389,0.51614,1,13,"STANDBY",41633752,"IDLE",3,1024,14,1
19,129.759,20,39.3054,26.3054,62.5902,54.5902,1,"TRACKER_DEGRADED",13.3054,4,2,1,6,8,5,"IDLE","none",2.17724,1.11645,0.284974,0,12,"STANDBY",41633752,"IDLE",3,1024,14,1
20,130.426,20,42.3467,29.3467,60.8092,52.8092,1,"CORRECTING",16.3467,4,2,1,6,8,5,"IDLE","none",2.23463,1.21786,0.525415,1,15,"STANDBY",41633752,"READY",3,1024,14,1
21,130.936,20,42.3812,29.3812,61.1662,53.1662,1,"CORRECTING",16.3812,4,2,1,6,8,5,"IDLE","none",2.2922,1.35121,0.936284,1,24,"STANDBY",41633752,"READY",3,1024,14,1
